City; ;2022-05-26;2022-05-27;2022-05-28;2022-05-29;2022-05-30;Rating
MOSCOW;Avg temp° / No precipitation, h;17.7|7;13.1|0;12.2|0;12.0|1;None|0;7
PARIS;Avg temp° / No precipitation, h;17.6|9;17.4|11;17.0|11;None|0;None|0;13
LONDON;Avg temp° / No precipitation, h;17.4|11;16.3|11;14.6|11;None|0;None|0;13
BERLIN;Avg temp° / No precipitation, h;19.3|9;16.0|6;13.6|0;None|0;None|0;10
BEIJING;Avg temp° / No precipitation, h;31.8|11;32.7|11;33.8|11;28.2|6;None|0;20
KAZAN;Avg temp° / No precipitation, h;12.5|6;13.7|0;14.7|3;14.0|1;None|0;8
SPETERSBURG;Avg temp° / No precipitation, h;12.2|3;11.8|0;11.6|0;12.0|1;None|0;6
VOLGOGRAD;Avg temp° / No precipitation, h;22.1|11;21.9|11;25.6|11;25.0|1;None|0;16
NOVOSIBIRSK;Avg temp° / No precipitation, h;24.9|11;22.5|11;23.3|11;22.2|5;None|0;16
KALININGRAD;Avg temp° / No precipitation, h;15.4|9;12.8|2;11.6|1;None|0;None|0;8
ABUDHABI;Avg temp° / No precipitation, h;34.8|11;34.5|11;33.8|11;34.0|2;None|0;21
WARSZAWA;Avg temp° / No precipitation, h;19.6|11;14.0|3;12.8|0;None|0;None|0;10
BUCHAREST;Avg temp° / No precipitation, h;27.5|11;26.1|11;27.8|11;18.0|1;None|0;16
ROMA;Avg temp° / No precipitation, h;29.0|11;29.3|11;25.5|11;None|0;None|0;19
CAIRO;Avg temp° / No precipitation, h;32.5|11;33.2|11;34.5|11;None|0;None|0;22
